"","0","2","2","100%","100%, 100%, 100%","out./24, set./24, ago./24","-","-","03/10/2024","08/10/2024","CONCLUÍDA/UNITIZADA","B-1060508","IT-GRUA-POV-CISNANDES-RURAL","SÃO DESIDÉRIO","QLP","","R$ 12.369,89","1","1","2","0","0","1","1","50%","","","","","0","0","","","R$ 35.884,60","R$ 12.369,89","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","-","-","-","-","-","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","out./24, set./24","-","-","10/10/2024","10/10/2024","CONCLUÍDA/UNITIZADA","B-1144798","IT-CIND-ROD-ANEL DA SOJA-GARGANTA-RURAL","FORMOSA DO RIO PRETO","QLP","","R$ 10.127,11","1","0","1","0","0","1","0","100%","","","","","0","0","","","R$ 2.415,36","R$ 10.127,11","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","out./24, set./24","-","-","11/10/2024","11/10/2024","CONCLUÍDA/UNITIZADA","B-1149110","IT-CIND-ROD-BR 020-RURAL","LUIS EDUARDO MAGALHÃES","QLP","","R$ 7.440,76","1","7","8","0","1","1","7","13%","","","","","0","0","","","R$ 4.809,76","R$ 7.440,76","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%, 100%","out./24, set./24, ago./24","-","-","15/10/2024","15/10/2024","CONCLUÍDA/UNITIZADA","B-1143700","IT-CIND-FAZENDA SANTO ANTONIO","FORMOSA DO RIO PRETO","QLP","","R$ 2.470,47","0","0","0","0","0","","0","0%","","","","","0","0","","","R$ 2.889,24","R$ 2.470,47","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","out./24, set./24","-","-","15/10/2024","15/10/2024","CONCLUÍDA/UNITIZADA","B-1136116","RR-CIND-POV-CARIPARE-RURAL","RIACHÃO DAS NEVES","QLP","","R$ 6.300,07","1","7","8","0","1","1","7","13%","","","","","0","0","","","R$ 9.971,90","R$ 6.300,07","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%, 100%","out./24, jul./24, abr./24","-","-","14/10/2024","17/10/2024","CONCLUÍDA/UNITIZADA","B-1134628","ER-CIND-POV-BELEZA DE CIMA-BELEZA DE CIM","SÃO DESIDÉRIO","GOVERNO","","R$ 24.051,42","1","7","8","0","6","","8","0%","","","","","0","0","","","R$ 16.750,57","R$ 24.051,42","","","R$ 21.454,20","FINALIZADA CICLOS ANTERIORES","21454,2","R$ 0,00","","OBRA APTA","25/07/2024","17/10/2024","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","SIM","",""
"","0","2","2","100%","100%, 50%","out./24, set./24","-","-","23/09/2024","18/10/2024","CONCLUÍDA/UNITIZADA","B-0287822","MP-CCOL-FAZ ADEMIR RAMOS-RURAL","SANTA RITA DE CÁSSIA","ESTRATÉGICA","","R$ 92.373,69","50","1","51","0","52","52","-1","102%","","","","","0","0","","","R$ 59.552,09","R$ 92.373,69","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","SIM","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","out./24, set./24","-","-","07/10/2024","23/10/2024","CONCLUÍDA/UNITIZADA","B-1127244","RC-CIND-PR -PANAMBI-RURAL  MOD","FORMOSA DO RIO PRETO","REPUTACIONAL","","R$ 6.798,29","3","0","3","0","3","","3","0%","","","","","0","0","","","R$ 5.500,71","R$ 6.798,29","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","8.3.2.5","SIM","NÃO","NÃO","SIM","SIM","BARREIRAS","","SIM","",""
"","0","2","2","100%","90%, 50%","out./24, set./24","-","-","16/09/2024","30/10/2024","CONCLUÍDA/UNITIZADA","B-1083385","RR-CCOL-RUA DO TAMARINDO-RURAL","WANDERLEY","ESTRATÉGICA","","R$ 93.571,55","25","16","41","0","39","41","0","100%","","","","","0","0","","","R$ 102.303,55","R$ 93.571,55","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","14.4.12.1","SIM","SIM","SIM","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%, 100%, 100%, 100%, 100%, 50%","nov./24, out./24, set./24, ago./24, jul./24, nov./23, out./23","-","-","24/10/2024","31/10/2024","CONCLUÍDA/UNITIZADA","B-0923237","RR-CIND-POV IDEROCAL-RURAL-SDE","SÃO DESIDÉRIO","PRIORIDADE PLANO ANEEL","","R$ 73.287,66","26","1","27","0","10","35","-8","130%","","","","","0","0","","","R$ 48.929,11","R$ 73.287,66","","","R$ 72.666,87","FINALIZADA CICLOS ANTERIORES","72666,87","R$ 0,00","","OBRA COM EXECUÇÃO PARCIAL - ANALISAR ITEM 0.1","09/05/2024","31/10/2024","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","SIM","SIM","NÃO","SIM","NÃO","BARREIRAS","","SIM","",""
"","0","2","2","100%","100%, 50%","nov./24, out./24","-","-","14/10/2024","01/11/2024","CONCLUÍDA/UNITIZADA","B-0982135","RR-CIND-POV. RIO PRETO-ASSENT. RIO PRETO","SANTA RITA DE CÁSSIA","JUDICIAL","","R$ 142.973,76","59","4","63","0","60","63","0","100%","","","","","0","0","","","R$ 104.935,64","R$ 142.973,76","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","14.4.12.1","SIM","NÃO","NÃO","SIM","NÃO","BARREIRAS","","SIM","",""
"","0","2","2","100%","100%, 100%","nov./24, out./24","-","-","01/11/2024","01/11/2024","CONCLUÍDA/UNITIZADA","B-1161035","FVU-RELIGADOR-RDO-09Z4-T27718","LUIS EDUARDO MAGALHÃES","OUTROS","","R$ 5.453,45","0","0","0","0","0","0","0","0%","","","","","0","0","","","R$ 33.505,54","R$ 5.453,45","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","8.1.4.5","-","-","-","-","-","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","nov./24, out./24","-","-","05/11/2024","05/11/2024","CONCLUÍDA/UNITIZADA","B-1144364","AC-CIND-RUA-BOA VISTA-BARREIRINHAS","BARREIRAS","QLP","","R$ 7.831,52","1","4","5","0","1","1","4","20%","","","","","0","0","","","R$ 2.401,73","R$ 7.831,52","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.1.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%, 100%, 100%, 100%","nov./24, out./24, set./24, ago./24, jul./24","-","-","07/11/2024","07/11/2024","CONCLUÍDA/UNITIZADA","B-1132417","IT-CIND-POV-NUCLEO COACERAL 4-RURAL","FORMOSA DO RIO PRETO","QLP","","R$ 5.412,78","1","0","1","0","1","1","0","100%","","","","","0","0","","","R$ 2.004,07","R$ 5.412,78","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.2.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","nov./24, out./24","-","-","01/11/2024","11/11/2024","CONCLUÍDA/UNITIZADA","B-1138599","IT-CIND-RUA-RUI BARBOSA-MIMOSO","LUIS EDUARDO MAGALHÃES","QLP","","R$ 5.504,27","1","0","1","0","1","1","0","100%","","","","","0","0","","","R$ 3.505,01","R$ 5.504,27","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","7.1.1.5","NÃO","NÃO","NÃO","SIM","NÃO","BARREIRAS","","","",""
"","0","2","2","100%","100%, 100%","nov./24, out./24","-","-","26/10/2024","12/11/2024","CONCLUÍDA/UNITIZADA","B-1140791","RC-CIND-RUA-REFORMA-AGRARIA","LUIS EDUARDO MAGALHÃES","AL/MELHORAMENTO","","R$ 22.382,43","6","1","7","0","4","4","3","57%","","","","","0","0","","","R$ 24.114,57","R$ 22.382,43","","","","#N/A","","R$ 0,00","","","","","","","27/02/2025 13:10 - Entrada na Carteira-Planejador","","8.3.2.5","NÃO","NÃO","NÃO","NÃO","NÃO","BARREIRAS","","","",""
